Animaker
BingImageCreator
brew
Canva
ChatGPT
ChatGPT
ChatGPT
Duolingo
Duolingo
Edpuzzle
ElsaSpeak
ExplainTXT
fireflyer
Gamma
Gamma
GoogleClassroom 
Grammarly
Image2go
islcollective
kahoot
kahoot
kahoot
kahoot
LanguageReactor
Lily'sAI
LyricsTraining
napkin
Padlet
Padlet
padlet
perplexity
Pika
playground
puzzlemaker
puzzlemaker
Quizlet
Quizlet
quizlet
scholastic
Soul Machine 
Storybird
storybird
SUNO
Wordwall
wordwall
writetone
wrtn
YouGlish
